name,aliases,plx,plxerr,ref_plx,pmra,pmraerr,pmdec,pmdecerr,ref_pm,dist,disterr,dist_notes,spt,sptnum,ref_spt,age,sep,seperr,pa,paerr,offset_ew,offseterr_ew,offset_ns,offseterr_ns,epoch_astrometry,ref_astrometry,name_simbad
2MASS J17072343-0558249,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J17072343-0558249
Gaia J171340.47-395211.8,,,,,,,,,,,,,L1 ± 0.4,11,2025MNRAS.538.3144C,,,,,,,,,,,,
2MASSW J1728114+394859,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASSW J1728114+394859
WISE J17395322+5532451,,,,,,,,,,,,,M7.5,7.5,2019ApJ...883..205B,,,,,,,,,,,,
SDSS J175805.46+463311.9,G 204-39 B,,,,,,,,,,,,,,,,,,,,,,,,,,
CWISEP J181006.00-101001.1,,112.5,8,2022A&A...663A..84L,-1027,3.5,-246.4,3.6,2022A&A...663A..84L,,,,esdT3:,-23,2025ApJ...982...79B,,,,,,,,,,,,
2MASS J18283572-4849046,,,,,230.08,0.72,88.5,0.58,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
Gaia J183118.29-073227.6,,,,,,,,,,,,,M9.5,9.5,2024ApJS..271...55K,,,,,,,,,,,,
2MASSI J1835379+325954,LSR J1835+3259,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 3421B,,,,,,,,,,,,,,5.2,2021A&A...645A.100S,,,,,,,,,,,,
PZ Tel B,,,,,,,,,,,,,,,,,0.2556,0.0025,61.68,0.6,,,,,2007-06-13,2012MNRAS.424.1714M,
HD 176535 B,,,,,,,,,,,,,,,,,0.347,0.01,91.55,1,,,,,2021-08-26,2023MNRAS.522.5622L,
Gaia J195557.27+321518.2,,,,,,,,,,,,,L1 pec,11,2024ApJS..271...55K,,,,,,,,,,,,
HR 7672B,,,,,,,,,,,,,,,,,0.794,0.005,157.3,0.6,,,,,2001-10-12,,
CWISE J201342.27-032643.7,,,,,,,,,,,,,d/sdT6,-26,2025ApJ...982...79B,10,,,,,,,,,,,
HIP 99770 b,,,,,,,,,,,,,,,,,,,,,0.263,0.004,-0.367,0.005,2020-07-29,2023Sci...380..198C,
Gl 802B,,,,,,,,,,,,,L5-L7,16,2008ApJ...678..463I,,0.102,0.007,36.1,4.5,,,,,2004-09-02,2006ApJ...650L.131L,
chi Cap E,,,,,,,,,,,,,M5-M7,6,2012A&A...544A...9V,,9.545,0.006,15.27,0.04,,,,,2007-09-18,2012A&A...544A...9V,
chi Cap F,,,,,,,,,,,,,M5-M7,6,2012A&A...544A...9V,,9.595,0.006,14.27,0.04,,,,,2007-09-18,2012A&A...544A...9V,
[HB88] M18,HB 2115-4518,,,,,,,,,,,,,,,,,,,,,,,,,,
[HB88] M19,HB 2124-4228,,,,,,,,,,,,,,,,,,,,,,,,,,
[HB88] M20,HB 2126-4459,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 206893B,,,,,,,,,,,,,,,,,0.2704,0.0026,69.95,0.55,,,,,2015-10-05,2017A&A...597L...2M,
HD 206893c,,,,,,,,,,,,,,,,,,,,,-0.07656,0.00014,-0.08274,0.00009,2021-08-28,2023A&A...671L...5H,
SIPS J2150-7520B,WISE 2150-7520 B,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J21501592-7520367,WISE 2150-7520 A,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J221859.33+114644.4,,,,,,,,,,,,,d/sdT6.5,-26.5,2025ApJ...982...79B,10,,,,,,,,,,,
HQT-9,CFBDSIR221903.07+002417.92,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL 5038B,,,,,,,,,,,,,,,,,0.94,,293.2,,,,,,,,
2MASS J22282889-4310262,,95.6,2.23,2024ApJS..271...55K,97.98,0.42,-306.91,0.46,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
2MASS J22362452+4751425 b,,,,,,,,,,,,,late-L pec,17,2017AJ....153...18B,,,,,,,,,,,,
HR 8799b,,,,,,,,,,,,,L5-T2,18.5,2010ApJ...723..850B,,,,,,,,,,,,
HR 8799c,,,,,,,,,,,,,L2-T0,16,2020ApJ...891..171Z,,0.966,0.022,300,0.8,,,,,1998-10-30,2011ApJ...741...55S,
HR 8799d,,,,,,,,,,,,,L2-T0,16,2020ApJ...891..171Z,,0.549,0.028,166,3,,,,,1998-10-30,2011ApJ...741...55S,
HR 8799e,,,,,,,,,,,,,L2-T0,16,2020ApJ...891..171Z,,,,,,-0.306,0.007,-0.211,0.007,2009-07-30,2016AJ....152...28K,
2MASSI J2331016-040619,HD 221356 BC,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J23312378-4718274,,49,4.23,2024ApJS..271...55K,73.01,0.7,-64.37,0.69,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
2MASSI J2356547-155310,,64.78,2.26,2024ApJS..271...55K,-432.19,0.39,-605.38,0.63,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
